TPCNote  13860  14105  60   2
TPCNote  13860  15015  79   3
TPCNote  14105  14315  58   0
TPCNote  14315  14560  60   2
TPCNote  14560  14770  63  -1
TPCNote  14770  15225  57   5
TPCNote  15015  15225  77   1
TPCNote  15225  15470  75  -1
TPCNote  15225  15680  60   2
TPCNote  15470  15680  74   4
TPCNote  15680  15925  75  -1
TPCNote  15680  16135  65   1
TPCNote  15925  16135  84   2
TPCNote  16135  16590  58   0
TPCNote  16135  17710  74   4
TPCNote  16590  17045  62   4
TPCNote  17045  17500  65   1
TPCNote  17500  21140  70   0
TPCNote  17710  17955  75  -1
TPCNote  17955  18165  74   4
TPCNote  18165  18410  72   2
TPCNote  18410  18620  74   4
TPCNote  18620  18865  77   1
TPCNote  18865  19075  80  -2
TPCNote  19075  19320  79   3
TPCNote  19320  19530  79   3
TPCNote  19530  19775  77   1
TPCNote  19775  19985  77   1
TPCNote  19985  20230  75  -1
TPCNote  20230  20440  75  -1
TPCNote  20440  20685  74   4
TPCNote  20685  20895  74   4
TPCNote  20895  21140  72   2
TPCNote  21140  21350  72   2
TPCNote  21140  21595  69   5
TPCNote  21350  21595  70   0
TPCNote  21595  23415  70   0
TPCNote  21805  22050  63  -1
TPCNote  22050  22260  63  -1
TPCNote  22260  22505  62   4
TPCNote  22505  22715  62   4
TPCNote  22715  22960  60   2
TPCNote  22960  23170  60   2
TPCNote  23170  23415  65   1
TPCNote  23415  23625  65   1
TPCNote  23415  24535  69   5
TPCNote  23625  23870  63  -1
TPCNote  23870  24080  63  -1
TPCNote  24080  24325  62   4
TPCNote  24325  25690  62   4
TPCNote  24535  24780  69   5
TPCNote  24780  24990  67   3
TPCNote  24990  25235  65   1
TPCNote  25235  25445  67   3
TPCNote  25445  25690  70   0
TPCNote  25690  26145  64   6
TPCNote  25690  26145  60   2
TPCNote  26145  26600  65   1
TPCNote  26145  26600  62   4
TPCNote  26600  27055  67   3
TPCNote  26600  27055  64   6
TPCNote  27055  27265  69   5
TPCNote  27055  27510  65   1
TPCNote  27265  27510  70   0
TPCNote  27510  27720  69   5
TPCNote  27720  27965  67   3
TPCNote  27965  28175  69   5
TPCNote  28175  28420  72   2
TPCNote  28420  32060  77   1
TPCNote  28630  28875  70   0
TPCNote  28875  29085  69   5
TPCNote  29085  29330  67   3
TPCNote  29330  29540  69   5
TPCNote  29540  29785  65   1
TPCNote  29785  29995  75  -1
TPCNote  29995  30240  74   4
TPCNote  30240  30450  74   4
TPCNote  30450  30695  72   2
TPCNote  30695  30905  72   2
TPCNote  30905  31150  70   0
TPCNote  31150  31360  70   0
TPCNote  31360  31605  69   5
TPCNote  31605  31815  69   5
TPCNote  31815  32060  67   3
TPCNote  32060  32270  67   3
TPCNote  32060  32725  75  -1
TPCNote  32270  32515  65   1
TPCNote  32515  33845  65   1
TPCNote  32725  32970  75  -1
TPCNote  32970  33180  74   4
TPCNote  33180  33425  72   2
TPCNote  33425  33635  74   4
TPCNote  33635  33845  70   0
TPCNote  33880  34090  67   3
TPCNote  33880  34300  64   6
TPCNote  34090  34300  74   4
TPCNote  34335  34545  72   2
TPCNote  34335  35210  63  -1
TPCNote  34545  34755  70   0
TPCNote  34755  35000  72   2
TPCNote  35000  35210  69   5
TPCNote  35210  35665  65   1
TPCNote  35210  35665  62   4
TPCNote  35665  36120  61  -3
TPCNote  35665  37030  70   0
TPCNote  36120  36575  58   0
TPCNote  36575  37030  64   6
TPCNote  37030  37485  69   5
TPCNote  37030  37485  65   1
TPCNote  38185  38395  68  -2
TPCNote  38395  38640  68  -2
TPCNote  38640  38850  67   3
TPCNote  38850  39095  67   3
TPCNote  39095  39305  65   1
TPCNote  39305  40670  64   6
TPCNote  39550  39760  74   4
TPCNote  39760  40005  72   2
TPCNote  40005  40215  70   0
TPCNote  40215  40460  72   2
